,average_age,chances_pp,games,goals,goals_against_ev,goals_ev,goals_pp,goals_sh,losses,losses_ot,opp_chances_pp,opp_goals,opp_goals_pp,opp_goals_sh,pdo,pen_kill_pct,pen_min_per_game,pen_min_per_game_opp,points,points_pct,power_play_pct,save_pct,shot_pct,shots,shots_against,sos,srs,team_name,ties,total_goals_per_game,wins
0,26.3,391,82,263,124,176,83,4,21,1,332,182,50,8,,84.94,13.6,16.5,113,0.6890000000000001,21.23,0.91,10.8,2441,2033,-0.11,0.88,Ottawa Senators*,8,5.43,52
1,30.0,327,82,245,113,174,62,9,17,4,346,169,50,6,,85.55,13.9,13.9,111,0.677,18.96,0.9179999999999999,9.9,2466,2073,0.01,0.94,Dallas Stars*,15,5.05,46
2,31.4,319,82,269,144,182,76,11,20,4,377,203,55,4,,85.41,14.5,13.6,110,0.6709999999999999,23.82,0.914,11.0,2441,2361,0.05,0.85,Detroit Red Wings*,10,5.76,48
3,29.3,303,82,216,130,173,36,7,20,6,264,166,32,4,,87.88,11.3,11.2,108,0.659,11.88,0.914,8.3,2601,1933,-0.12,0.49,New Jersey Devils*,10,4.66,46
4,29.1,328,82,211,108,156,47,8,20,4,338,166,50,8,,85.21,11.9,11.9,107,0.652,14.33,0.9179999999999999,8.3,2537,2019,-0.12,0.43,Philadelphia Flyers*,13,4.6,45
5,28.7,363,82,251,125,178,68,5,19,8,359,194,63,6,,82.45,12.9,13.2,105,0.64,18.73,0.9159999999999999,10.5,2386,2322,0.06,0.75,Colorado Avalanche*,13,5.43,42
6,26.9,419,82,264,136,165,87,12,23,1,389,208,62,10,,84.06,14.0,15.0,104,0.634,20.76,0.905,11.1,2388,2185,0.05,0.74,Vancouver Canucks*,13,5.76,45
7,29.6,391,82,253,144,162,80,11,24,6,389,222,71,7,,81.75,19.6,17.9,99,0.604,20.46,0.892,11.0,2301,2047,0.05,0.43,St. Louis Blues*,11,5.79,41
8,30.4,359,82,236,145,162,63,11,28,3,426,208,56,7,,86.85,16.7,13.7,98,0.598,17.55,0.914,11.0,2152,2423,-0.08,0.26,Toronto Maple Leafs*,7,5.41,44
9,28.0,366,82,198,130,137,52,9,29,1,308,178,43,5,,86.04,12.6,13.9,95,0.579,14.21,0.924,9.5,2086,2335,0.08,0.32,Minnesota Wild*,10,4.59,42
10,27.7,348,82,203,146,139,56,8,27,6,333,193,42,5,,87.39,11.4,11.9,95,0.579,16.09,0.919,9.0,2246,2377,0.07,0.19,Mighty Ducks of Anaheim*,9,4.83,40
11,26.8,391,82,219,150,143,70,6,25,5,316,210,55,5,,82.59,12.8,14.3,93,0.5670000000000001,17.9,0.909,9.1,2395,2298,-0.12,-0.01,Tampa Bay Lightning*,16,5.23,36
12,29.1,331,82,224,144,159,57,8,29,6,384,220,72,4,,81.25,15.2,13.5,92,0.561,17.22,0.91,10.1,2223,2454,-0.11,-0.06,Washington Capitals*,8,5.41,39
13,26.6,386,82,231,161,162,56,13,26,9,351,230,61,8,,82.62,14.5,15.0,92,0.561,14.51,0.898,10.1,2292,2248,0.11,0.12,Edmonton Oilers*,11,5.62,36
14,27.9,325,82,245,161,176,59,10,31,4,375,237,65,11,,82.67,16.4,15.0,87,0.53,18.15,0.898,9.3,2636,2322,-0.08,0.02,Boston Bruins*,11,5.88,36
15,27.7,384,82,224,159,154,58,12,34,2,405,231,67,5,,83.46,14.9,14.6,83,0.506,15.1,0.9,9.2,2427,2318,-0.07,-0.16,New York Islanders*,11,5.55,35
16,29.6,308,82,207,162,160,39,8,33,6,369,226,56,8,,84.82,14.1,12.2,79,0.48200000000000004,12.66,0.904,9.1,2279,2345,0.09,-0.14,Chicago Blackhawks,13,5.28,30
17,28.4,354,82,203,155,143,52,8,37,6,371,221,62,4,,83.29,13.4,13.3,78,0.47600000000000003,14.69,0.897,8.9,2272,2141,0.09,-0.13,Los Angeles Kings,6,5.17,33
18,27.5,385,82,204,142,145,55,4,35,5,412,230,77,11,,81.31,17.2,16.9,78,0.47600000000000003,14.29,0.9059999999999999,8.9,2297,2458,0.08,-0.23,Phoenix Coyotes,11,5.29,31
19,29.4,339,82,210,150,147,55,8,36,4,388,231,73,8,,81.19,15.8,14.2,78,0.47600000000000003,16.22,0.905,8.5,2465,2426,-0.08,-0.33,New York Rangers,10,5.38,32
20,28.9,315,82,206,170,160,44,2,35,9,317,234,58,6,,81.7,10.7,11.0,77,0.47,13.97,0.9129999999999999,9.7,2119,2678,-0.05,-0.39,Montreal Canadiens,8,5.37,30
21,27.4,389,82,186,153,134,47,5,36,4,389,228,65,10,,83.29,16.7,16.5,75,0.457,12.08,0.897,7.9,2341,2222,0.14,-0.37,Calgary Flames,13,5.05,29
22,27.1,418,82,183,137,123,58,2,35,7,353,206,61,8,,82.72,11.7,13.3,74,0.451,13.88,0.909,7.9,2316,2252,0.11,-0.17,Nashville Predators,13,4.74,27
23,27.1,371,82,226,205,154,64,8,39,5,355,284,65,14,,81.69,15.0,15.8,74,0.451,17.25,0.89,10.4,2163,2593,-0.07,-0.78,Atlanta Thrashers,7,6.22,31
24,27.5,375,82,214,161,141,68,5,37,8,358,239,68,10,,81.01,13.2,14.3,73,0.445,18.13,0.9,9.3,2303,2392,0.1,-0.21,San Jose Sharks,9,5.52,28
25,25.9,354,82,190,155,131,51,8,37,8,363,219,53,11,,85.4,15.2,14.7,72,0.439,14.41,0.905,8.1,2345,2296,-0.05,-0.4,Buffalo Sabres,10,4.99,27
26,25.1,347,82,176,162,120,49,7,36,9,356,237,66,9,,81.46,13.6,14.4,70,0.42700000000000005,14.12,0.9129999999999999,7.9,2229,2724,-0.03,-0.78,Florida Panthers,13,5.04,24
27,27.7,410,82,213,194,130,71,12,42,3,409,263,60,9,,85.33,18.0,18.9,69,0.42100000000000004,17.32,0.9,9.9,2143,2641,0.11,-0.51,Columbus Blue Jackets,8,5.8,29
28,27.8,360,82,189,187,120,66,3,44,5,352,255,58,10,,83.52,13.3,11.8,65,0.396,18.33,0.899,9.1,2079,2535,-0.04,-0.85,Pittsburgh Penguins,6,5.41,27
29,28.5,420,82,171,160,107,58,6,43,6,392,240,71,9,,81.89,14.5,16.1,61,0.37200000000000005,13.81,0.897,7.1,2414,2332,-0.06,-0.9,Carolina Hurricanes,11,5.01,22
